Illumina Inc. BeadStudio version 1.5.1.3,,,,,,,,
Normalization = none,,,,,,,,
Array Content = Human_WG-6.xml,,,,,,,,
Error Model = none,,,,,,,,
DateTime = 09/11/2007 15:09,,,,,,,,
Local Settings = en-GB,,,,,,,,

TargetID,AVG_Signal-normal1,BEAD_STDEV-normal1,Avg_NBEADS-normal1,Detection-normal1,AVG_Signal-normal2,BEAD_STDEV-normal2,Avg_NBEADS-normal2,Detection-normal2
GI_10047089-S,197.7,6.2,64,0.9993408,187.9,8.4,59,0.9993408
GI_10047091-S,114.1,5.8,43,0.69545155,104.8,5.8,45,0.22346737
GI_10047093-S,105.3,5.7,42,0.39815425,116.9,5,50,0.61502966
GI_10047099-S,117.6,4.2,50,0.79433092,117.8,7.1,32,0.6413975
GI_10047103-S,121.8,7.1,31,0.87409361,127.6,5.9,58,0.87870798
GI_10047105-S,149.7,6.9,49,0.99670402,130.3,6.4,45,0.91232696
GI_10047121-S,101.8,4.8,46,0.28345419,110,4.7,51,0.37640079
GI_10047123-S,230.2,7.9,46,1,209.6,9.8,51,0.9993408
GI_10047133-A,108.1,5.1,41,0.48714568,98.1,6.1,41,0.08239947
GI_10047133-I,646.3,29,38,1,409.9,17.8,41,1
