sample	original_name	chiptype	group	training
microarray10.cel	GSM12105.cel	hgu133a	2	
microarray11.cel	GSM12268.cel	hgu133a	1	
microarray12.cel	GSM12270.cel	hgu133a	2	
microarray13.cel	GSM12283.cel	hgu133a	1	
microarray14.cel	GSM12298.cel	hgu133a	2	
microarray15.cel	GSM12300.cel	hgu133a	1	
microarray16.cel	GSM12399.cel	hgu133a	2	
microarray17.cel	GSM12444.cel	hgu133a	1	
microarray1.cel	GSM11805.cel	hgu133a	1	
microarray2.cel	GSM11814.cel	hgu133a	2	
microarray3.cel	GSM11823.cel	hgu133a	1	
microarray4.cel	GSM11830.cel	hgu133a	2	
microarray5.cel	GSM12067.cel	hgu133a	2	
microarray6.cel	GSM12075.cel	hgu133a	1	
microarray7.cel	GSM12079.cel	hgu133a	2	
microarray8.cel	GSM12098.cel	hgu133a	1	
microarray9.cel	GSM12100.cel	hgu133a	2	
